ID Cliente,Etiqueta de rotatividade,Duração da conta (em meses),Chamadas locais,Minutos Local,Chamadas internacionais,Minutos Internacional,Plano Internacional Ativo,Plano internacional,Tarifas internacionais extras,Chamadas de atendimento ao cliente,Média mensal de GB para download,Plano de Dados Ilimitado,Cobranças extras de dados,Estado,Número de Telefone,Gênero,Idade,Menos de 30,Idoso,Grupo,Número de Clientes por Grupo,Proteção de Dispositivo & Online Backup,Tipo de Contrato,Modo de Pagamento,Cobrança Mensal,Total de Cobranças,Categoria de Rotatividade,Motivo da Rotatividade
7420-TFLD,Não,46,234,554.8,0,0,Não,Não,0,0,6,Sim,0,OR,353-3061,Feminino,53,Não,Não,Não,0,Não,Mensal,Débito Automático,28,1316,,
0346-QDGF,Não,2,10,17.7,0,0,Não,Não,0,0,24,Sim,0,MI,363-5450,Masculino,22,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,21,41,,
1564-AAIM,Não,53,409,846.2,0,0,Não,Não,0,0,37,Sim,0,ID,398-1294,Masculino,25,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,51,2680,,
8995-MKVE,Não,66,204,397.9,0,0,Não,Não,0,0,3,Não,16,WY,405-7146,Feminino,62,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,35,2351,,
5708-KVWR,Não,43,86,255.2,0,0,Não,Não,0,0,7,Sim,0,IA,413-4957,Feminino,69,Não,Sim,Não,0,Não,Anual,Débito Automático,41,1761,,
6307-TNXU,Não,25,72,227,0,0,Não,Não,0,0,1,Sim,0,VA,349-4396,Feminino,63,Não,Não,Não,0,Não,Anual,Cartão de Crédito,32,799,,
7343-GNPD,Não,60,233,595.4,0,0,Não,Não,0,0,8,Sim,0,WY,353-3759,Feminino,77,Não,Sim,Não,0,Sim,Anual,Cartão de Crédito,44,2639,,
8190-LOMP,Não,63,128,316.7,0,0,Não,Não,0,0,3,Sim,0,CO,340-5121,Feminino,43,Não,Não,Não,0,Não,Anual,Cartão de Crédito,47,2999,,
9766-ZUAF,Não,65,241,456.7,0,0,Não,Não,0,0,2,Sim,0,CO,370-7574,Masculino,82,Não,Sim,Não,0,Sim,Anual,Débito Automático,64,4167,,
0521-NSRI,Não,36,88,179.2,0,0,Não,Não,0,0,0,Não,0,WI,403-9733,Feminino,59,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,12,440,,
1260-SRKC,Não,73,460,1022.8,0,0,Não,Não,0,0,7,Não,33,OK,355-7251,Feminino,43,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,37,2702,,
5130-MPZE,Não,47,178,421.5,0,0,Não,Não,0,0,4,Sim,0,ID,359-5893,Feminino,33,Não,Não,Não,0,Sim,Mensal,Débito Automático,48,2254,,
7466-XCMA,Sim,61,107,242.5,0,0,Não,Não,0,0,13,Sim,0,CA,405-3371,Masculino,29,Sim,Não,Não,0,Não,Mensal,Débito Automático,45,2717,,
2267-OQZH,Não,70,187,492.5,0,0,Não,Não,0,0,9,Sim,0,MN,344-5117,Masculino,35,Não,Não,Não,0,Sim,2 Anos,Débito Automático,24,1715,,
9314-HLWC,Não,18,36,123.2,0,0,Não,Não,0,0,1,Sim,0,SD,332-8160,Feminino,46,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,19,342,,
5957-MTAG,Não,3,6,16.2,0,0,Não,Não,0,0,5,Sim,0,WA,352-8305,Feminino,51,Não,Não,Não,0,Não,Mensal,Débito Automático,46,149,,
6076-RCCT,Não,46,300,740.2,184,427.8,Sim,Sim,0,0,15,Sim,0,WY,329-9847,Masculino,35,Não,Não,Não,0,Não,Anual,Débito Automático,50,2325,,
0476-UFII,Não,32,64,126.1,256,265.6,Sim,Sim,0,0,9,Não,32,MN,365-9011,Feminino,59,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,30,960,,
9560-DMCL,Não,46,118,369.6,0,0,Não,Não,0,0,0,Não,0,UT,338-9472,Feminino,40,Não,Não,Não,0,Não,2 Anos,Débito Automático,12,543,,
5297-BENZ,Não,11,81,166.7,0,0,Não,Não,0,0,14,Sim,0,TX,374-8042,Masculino,29,Sim,Não,Não,0,Sim,Mensal,Cartão de Crédito,48,537,,
8822-KJPV,Não,1,4,14,0,0,Não,Não,0,0,3,Sim,0,NJ,359-1231,Masculino,42,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,27,27,,
5559-DOEH,Não,53,228,695,0,0,Não,Não,0,0,0,Não,0,MN,413-7170,Feminino,24,Sim,Não,Não,0,Não,Anual,Débito Automático,7,372,,
0544-HTAB,Não,64,94,254.4,0,0,Não,Não,0,0,5,Sim,0,NM,415-2935,Masculino,76,Não,Sim,Não,0,Sim,2 Anos,Débito Automático,60,3811,,
1633-FVON,Não,59,300,587.5,0,0,Não,Não,0,0,0,Não,0,NV,399-4246,Masculino,39,Não,Não,Não,0,Não,2 Anos,Débito Automático,11,674,,
1299-WYLC,Não,56,168,500,0,0,Não,Não,0,0,10,Sim,0,MN,350-8921,Feminino,70,Não,Sim,Não,0,Sim,Anual,Débito Automático,61,3397,,
1712-GSRD,Não,48,251,724.8,0,0,Não,Não,0,0,4,Sim,0,DC,374-5353,Feminino,54,Não,Não,Não,0,Não,Anual,Cartão de Crédito,30,1434,,
9518-SUYQ,Não,28,108,282.4,0,0,Não,Não,0,0,1,Sim,0,MN,355-8887,Masculino,85,Não,Sim,Não,0,Não,Anual,Débito Automático,28,796,,
2605-TOXT,Não,47,116,281.8,0,0,Não,Não,0,0,0,Não,0,MD,333-1967,Feminino,47,Não,Não,Não,0,Não,Anual,Cartão de Crédito,16,755,,
3733-EZWS,Não,42,96,291.8,0,0,Não,Não,0,0,9,Não,51,GA,411-1530,Feminino,37,Não,Não,Não,0,Sim,Mensal,Débito Automático,59,2452,,
6341-KAZD,Não,48,96,289.8,0,0,Não,Não,0,0,0,Não,0,TX,395-3026,Feminino,34,Não,Não,Não,0,Não,2 Anos,Débito Automático,7,340,,
9484-NQCR,Não,9,45,148,0,0,Não,Não,0,0,14,Sim,0,VT,388-6441,Masculino,29,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,47,439,,
6102-OALZ,Não,36,248,534.7,0,0,Não,Não,0,0,6,Sim,0,IN,402-1251,Feminino,55,Não,Não,Não,0,Não,Anual,Débito Automático,22,786,,
9351-ELBM,Não,51,292,767.8,0,0,Não,Não,0,0,0,Não,0,WV,412-9997,Feminino,24,Sim,Não,Não,0,Não,2 Anos,Débito Automático,12,638,,
7023-YWYM,Não,46,145,325.3,0,0,Não,Não,0,0,0,Não,0,KY,346-7302,Feminino,60,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,13,616,,
0993-JKUA,Não,30,67,179.4,0,0,Não,Não,0,0,4,Sim,0,NJ,358-9095,Masculino,46,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,19,577,,
1629-PDTQ,Não,1,3,7,0,0,Não,Não,0,0,0,Sim,0,LA,334-1275,Masculino,76,Não,Sim,Não,0,Não,Anual,Débito Automático,42,42,,
3558-BXMZ,Não,68,254,612.2,0,0,Não,Não,0,0,9,Sim,0,AR,340-4953,Masculino,61,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,47,3187,,
0388-CPEE,Não,64,274,768,0,0,Não,Não,0,0,7,Sim,0,ME,400-9510,Feminino,48,Não,Não,Não,0,Sim,Mensal,Cartão de Crédito,48,3049,,
2562-HWYM,Não,74,407,1108.9,0,0,Não,Não,0,0,3,Sim,0,AZ,387-6103,Masculino,56,Não,Não,Não,0,Sim,2 Anos,Débito Automático,44,3237,,
3797-KBSC,Não,71,136,355.2,0,0,Não,Não,0,0,13,Sim,0,MT,370-3450,Masculino,48,Não,Não,Não,0,Não,Anual,Cartão de Crédito,31,2180,,
8928-KDDO,Não,53,146,316.3,0,0,Não,Não,0,0,0,Não,0,MS,355-6291,Masculino,66,Não,Sim,Não,0,Não,2 Anos,Débito Automático,7,372,,
5582-SNME,Não,1,5,12,0,0,Não,Não,0,0,0,Não,0,IA,379-6506,Masculino,19,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,12,12,,
7652-MWGQ,Não,38,197,417.5,0,0,Não,Não,0,0,11,Sim,0,VT,354-3783,Masculino,33,Não,Não,Não,0,Sim,Anual,Débito Automático,63,2392,,
9413-CTHP,Não,66,349,864,0,0,Não,Não,0,0,3,Sim,0,KY,401-7594,Feminino,69,Não,Sim,Não,0,Sim,Anual,Débito Automático,26,1739,,
1874-MSLN,Não,4,11,33,0,0,Não,Não,0,0,4,Sim,0,AZ,334-2577,Masculino,34,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,15,63,,
4455-SIDH,Não,70,236,701.2,0,0,Não,Não,0,0,12,Sim,0,MI,400-3637,Feminino,27,Sim,Não,Não,0,Não,Anual,Débito Automático,66,4593,,
1457-BNEN,Não,31,213,400,0,0,Não,Não,0,0,4,Sim,0,NM,383-4361,Feminino,58,Não,Não,Não,0,Não,Anual,Cartão de Crédito,13,407,,
2274-VJTM,Não,42,195,457.2,0,0,Não,Não,0,0,4,Sim,0,CO,371-4306,Masculino,54,Não,Não,Não,0,Não,Anual,Cartão de Crédito,62,2556,,
2030-STOC,Não,70,199,491.9,0,0,Não,Não,0,0,0,Não,0,UT,403-4298,Masculino,37,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,12,875,,
0334-QKJY,Não,52,222,577.5,0,0,Não,Não,0,0,2,Sim,0,MA,337-4697,Feminino,38,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,37,1939,,
8840-GNVV,Não,43,211,474.6,0,0,Não,Não,0,0,6,Sim,0,AL,383-1509,Feminino,35,Não,Não,Não,0,Sim,Mensal,Débito Automático,57,2451,,
8778-MXAA,Não,63,249,564.3,0,0,Não,Não,0,0,6,Sim,0,AZ,407-7035,Feminino,51,Não,Não,Não,0,Não,2 Anos,Débito Automático,27,1699,,
6377-YEVD,Não,36,235,399,0,0,Não,Não,0,0,9,Sim,0,NJ,391-4652,Feminino,65,Não,Sim,Não,0,Não,2 Anos,Débito Automático,11,410,,
0111-ULQC,Não,40,118,242.7,0,0,Não,Não,0,0,0,Não,0,MO,409-1244,Feminino,51,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,13,525,,
0921-JRAS,Não,55,89,276.3,0,0,Não,Não,0,0,24,Sim,0,NE,352-7072,Feminino,27,Sim,Não,Não,0,Sim,Anual,Cartão de Crédito,39,2146,,
4190-OQWW,Não,5,34,76.3,0,0,Não,Não,0,0,0,Não,0,TX,370-7550,Feminino,34,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,10,56,,
1772-EVXU,Não,34,85,306.3,0,0,Não,Não,0,0,5,Sim,0,AZ,354-4445,Masculino,57,Não,Não,Não,0,Não,2 Anos,Débito Automático,44,1497,,
4640-ROSI,Não,73,542,1171.3,0,0,Não,Não,0,0,0,Não,0,MS,414-8718,Masculino,49,Não,Não,Não,0,Não,2 Anos,Débito Automático,13,946,,
7232-MRQS,Não,1,6,13,0,0,Não,Não,0,0,0,Não,0,TX,409-5939,Masculino,44,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,13,13,,
1736-FGSI,Não,71,296,706,0,0,Não,Não,0,0,7,Sim,0,NE,331-4902,Masculino,78,Não,Sim,Não,0,Não,Anual,Débito Automático,29,2045,,
1908-BNLT,Não,14,58,127.3,0,0,Não,Não,0,0,7,Sim,0,NE,353-6870,Feminino,48,Não,Não,Não,0,Não,Mensal,Débito Automático,35,502,,
9998-OFMS,Não,64,263,644.9,0,0,Não,Não,0,0,3,Sim,0,NJ,390-6101,Masculino,64,Não,Não,Não,0,Não,2 Anos,Débito Automático,32,2034,,
4988-DNKW,Não,46,164,416.1,138,515.2,Sim,Sim,0,0,0,Não,0,AL,387-2919,Feminino,41,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,17,768,,
8781-YXBL,Não,24,131,355.7,0,0,Não,Não,0,0,11,Sim,0,NY,374-8525,Feminino,40,Não,Não,Não,0,Não,Mensal,Débito Automático,28,672,,
4923-PXAV,Não,63,211,506,0,0,Não,Não,0,0,0,Não,0,FL,379-5592,Feminino,23,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,9,595,,
1867-FBPS,Não,60,210,537.5,0,0,Não,Não,0,0,0,Não,0,AK,345-8237,Masculino,62,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,13,754,,
5088-QWNF,Não,73,265,729.8,0,0,Não,Não,0,0,3,Sim,0,DE,346-2359,Feminino,68,Não,Sim,Não,0,Sim,2 Anos,Cartão de Crédito,38,2808,,
5570-GABM,Não,59,152,354.6,0,0,Não,Não,0,0,11,Sim,0,MI,381-4756,Feminino,38,Não,Não,Não,0,Não,2 Anos,Débito Automático,59,3479,,
4316-MSBV,Não,63,84,313.7,0,0,Não,Não,0,0,4,Sim,0,VT,390-2805,Masculino,33,Não,Não,Não,0,Não,Anual,Cartão de Crédito,40,2535,,
1501-UIMO,Não,73,124,366.6,511,1029.3,Sim,Sim,0,0,0,Não,0,VT,390-2390,Masculino,70,Não,Sim,Não,0,Não,2 Anos,Débito Automático,8,621,,
5637-EXFL,Não,65,121,259.1,0,0,Não,Não,0,0,3,Sim,0,MI,419-9097,Feminino,54,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,55,3552,,
9631-SNXG,Não,3,4,12.5,0,0,Não,Não,0,0,0,Não,0,WA,386-7281,Masculino,45,Não,Não,Não,0,Não,Anual,Cartão de Crédito,9,27,,
9797-UVHV,Não,30,146,329.1,0,0,Não,Não,0,0,1,Não,0,LA,390-8760,Masculino,50,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,42,1259,,
6677-UAIY,Não,73,170,366.6,0,0,Não,Não,0,0,16,Sim,0,OH,336-7600,Feminino,29,Sim,Não,Não,0,Sim,Anual,Cartão de Crédito,36,2676,,
3213-OZLH,Não,61,211,484.6,0,0,Não,Não,0,0,6,Sim,0,RI,383-6293,Masculino,49,Não,Não,Não,0,Sim,2 Anos,Débito Automático,32,1956,,
9462-HMVN,Não,22,115,281.5,0,0,Não,Não,0,0,8,Não,34,OH,370-9116,Feminino,25,Sim,Não,Não,0,Não,Mensal,Débito Automático,43,924,,
6951-KCHP,Não,21,103,270.9,0,0,Não,Não,0,0,0,Não,0,VA,328-6289,Masculino,36,Não,Não,Não,0,Não,Anual,Cartão de Crédito,8,169,,
0603-QZRV,Não,16,85,239.1,0,0,Não,Não,0,0,9,Sim,0,MO,350-9994,Masculino,41,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,24,386,,
1476-JLHH,Não,10,77,137.1,0,0,Não,Não,0,0,0,Não,0,FL,351-4616,Masculino,43,Não,Não,Não,0,Não,2 Anos,Débito Automático,15,142,,
4549-UHYE,Não,2,4,11.6,0,0,Não,Não,0,0,2,Sim,0,IA,406-4710,Feminino,52,Não,Não,Não,0,Não,Mensal,Débito Automático,35,68,,
3163-BOSK,Não,54,330,642.7,0,0,Não,Não,0,0,1,Sim,0,MI,409-8743,Masculino,38,Não,Não,Não,0,Sim,2 Anos,Débito Automático,43,2293,,
2547-NBGO,Não,11,84,159,0,0,Não,Não,0,0,0,Não,0,OK,335-4584,Feminino,21,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,10,117,,
5341-UWGY,Não,69,248,753.7,0,0,Não,Não,0,0,0,Não,0,DE,361-9845,Masculino,43,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,10,695,,
9859-GGCF,Não,70,342,913.1,0,0,Não,Não,0,0,6,Sim,0,DC,329-9364,Masculino,38,Não,Não,Não,0,Sim,2 Anos,Débito Automático,52,3654,,
4822-HGQI,Não,42,151,336.1,0,0,Não,Não,0,0,11,Sim,0,CO,338-9398,Masculino,59,Não,Não,Não,0,Sim,Anual,Débito Automático,42,1778,,
9331-EMHQ,Não,14,25,72.1,0,0,Não,Não,0,0,8,Sim,0,NM,381-2709,Masculino,51,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,54,780,,
1022-MXDZ,Não,32,145,350.4,0,0,Não,Não,0,0,0,Não,0,LA,415-2393,Feminino,59,Não,Não,Não,0,Não,Anual,Débito Automático,12,372,,
8362-WLIZ,Não,32,58,126.3,0,0,Não,Não,0,0,0,Não,0,NE,377-1765,Prefer not to say,53,Não,Não,Não,0,Não,Mensal,Débito Automático,10,319,,
1723-BADW,Não,61,298,792,0,0,Não,Não,0,0,0,Não,0,KS,411-4582,Masculino,24,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,9,543,,
7529-FNNU,Não,1,7,10,0,0,Não,Não,0,0,21,Sim,0,AK,372-3750,Feminino,25,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,22,22,,
3212-TFMM,Não,33,75,262.6,0,0,Não,Não,0,0,8,Sim,0,NH,361-3337,Masculino,38,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,43,1411,,
2593-RBZA,Não,20,135,237.2,0,0,Não,Não,0,0,9,Sim,0,NY,422-1471,Masculino,44,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,34,669,,
0696-BYCU,Não,3,17,43.2,0,0,Não,Não,0,0,30,Sim,0,AZ,399-7865,Masculino,21,Sim,Não,Não,0,Não,Mensal,Débito Automático,17,45,,
4944-CIHW,Não,12,103,199.3,0,0,Não,Não,0,0,0,Não,0,WY,373-4819,Feminino,59,Não,Não,Não,0,Não,Anual,Débito Automático,12,147,,
4245-YWPM,Não,42,236,630.5,0,0,Não,Não,0,0,12,Sim,0,WA,338-6981,Feminino,66,Não,Sim,Não,0,Não,Mensal,Cartão de Crédito,36,1533,,
2095-XLTB,Não,44,188,397.2,0,0,Não,Não,0,0,26,Sim,0,CO,418-4365,Masculino,24,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,25,1102,,
5985-QISQ,Não,70,170,557.1,0,0,Não,Não,0,0,0,Não,0,KY,375-3586,Feminino,41,Não,Não,Não,0,Não,2 Anos,Débito Automático,9,616,,
7789-ZPFF,Não,74,520,1111.6,0,0,Não,Não,0,0,2,Sim,0,MT,407-8376,Feminino,41,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,41,3059,,
9712-UUEV,Não,62,137,370.8,0,0,Não,Não,0,0,0,Não,0,OK,408-6496,Masculino,36,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,7,427,,
0443-JVDX,Não,20,87,236.4,0,0,Não,Não,0,0,8,Sim,0,MD,385-7688,Feminino,31,Não,Não,Não,0,Não,Mensal,Débito Automático,49,973,,
1497-NJGC,Não,59,141,409.9,0,0,Não,Não,0,0,26,Sim,0,TX,378-3625,Masculino,19,Sim,Não,Não,0,Sim,Mensal,Débito Automático,60,3487,,
5437-THZS,Não,26,157,315.7,0,0,Não,Não,0,0,9,Sim,0,MN,358-3261,Feminino,59,Não,Não,Não,0,Não,Anual,Cartão de Crédito,52,1363,,
3132-ZCXO,Não,14,54,180.6,0,0,Não,Não,0,0,11,Sim,0,DE,377-9932,Feminino,49,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,53,733,,
7736-ZVZC,Não,43,164,472.7,0,0,Não,Não,0,0,7,Sim,0,WA,341-8467,Masculino,44,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,41,1774,,
9013-KMUQ,Não,34,102,302.2,0,0,Não,Não,0,0,4,Sim,0,MO,339-9453,Feminino,62,Não,Não,Não,0,Não,Anual,Débito Automático,37,1229,,
3877-IZTZ,Não,75,126,301.5,0,0,Não,Não,0,0,12,Sim,0,IN,344-3388,Masculino,33,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,29,2183,,
5731-BGMG,Não,65,246,714.4,0,0,Não,Não,0,0,23,Sim,0,RI,386-3671,Masculino,22,Sim,Não,Não,0,Sim,Anual,Cartão de Crédito,61,3944,,
6459-UAFN,Não,1,5,13,11,11.9,Sim,Sim,0,0,1,Sim,0,AZ,346-7795,Feminino,43,Não,Não,Não,0,Não,Mensal,Débito Automático,17,17,,
8088-BQFU,Não,27,219,405,0,0,Não,Não,0,0,0,Não,0,AZ,405-1842,Feminino,25,Sim,Não,Não,0,Não,Anual,Débito Automático,13,348,,
8737-CDBU,Não,23,141,295.9,92,404.8,Sim,Sim,0,0,1,Sim,0,FL,366-6345,Masculino,64,Não,Não,Não,0,Não,Anual,Débito Automático,37,847,,
6799-KEBR,Não,59,156,409.6,0,0,Não,Não,0,0,6,Sim,0,LA,337-9345,Feminino,48,Não,Não,Não,0,Sim,Mensal,Débito Automático,36,2104,,
0815-COLE,Não,69,130,346.9,0,0,Não,Não,0,0,9,Sim,0,FL,328-6770,Masculino,45,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,19,1302,,
6495-MIAB,Não,67,250,870.3,0,0,Não,Não,0,0,6,Sim,0,FL,380-7321,Masculino,41,Não,Não,Não,0,Sim,2 Anos,Débito Automático,32,2174,,
2607-EPFH,Não,63,266,632.4,0,0,Não,Não,0,0,5,Sim,0,MD,375-1476,Masculino,49,Não,Não,Não,0,Sim,2 Anos,Débito Automático,51,3242,,
0790-HZYB,Não,8,42,85.9,0,0,Não,Não,0,0,18,Sim,0,AL,356-1567,Feminino,26,Sim,Não,Não,0,Não,Mensal,Débito Automático,34,267,,
8456-TAUF,Não,74,466,1113.3,0,0,Não,Não,0,0,0,Não,0,TN,336-1090,Feminino,53,Não,Não,Não,0,Não,2 Anos,Débito Automático,8,617,,
4418-MJGM,Não,1,5,13,0,0,Não,Não,0,0,0,Não,0,MS,343-2095,Masculino,35,Não,Não,Não,0,Não,Anual,Débito Automático,10,10,,
7283-XTJW,Não,11,36,90.7,0,0,Não,Não,0,0,0,Não,0,OK,338-8050,Feminino,51,Não,Não,Não,0,Não,Anual,Débito Automático,8,93,,
0545-AFAG,Não,25,132,382,0,0,Não,Não,0,0,15,Sim,0,IN,388-9568,Masculino,30,Não,Não,Não,0,Não,Anual,Cheque,29,727,,
4672-CQIQ,Não,31,120,407.8,0,0,Não,Não,0,0,14,Sim,0,MO,402-6591,Feminino,26,Sim,Não,Não,0,Sim,Anual,Cheque,32,1013,,
